numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort,isAttack
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
5,0,100,15,0,63,82,82,81,14,5,0,5,0,82,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
2,46,52,44,0,2,51,47,50,37,1,45,2,0,41,TRUE
0,61,39,19,0,0,60,60,59,14,0,60,0,6,42,TRUE
21,14,75,24,0,6,59,59,38,26,11,14,11,2,59,TRUE
1,0,99,10,0,0,46,52,43,2,1,0,0,0,17,FALSE
24,7,76,26,0,2,50,48,49,1,23,2,2,12,36,FALSE
100,0,28,0,0,0,27,71,26,1,27,0,71,0,71,TRUE
100,0,49,0,0,0,48,50,47,1,48,0,50,1,50,TRUE
8,58,38,5,0,1,64,57,63,11,4,57,4,3,57,TRUE
66,2,73,3,0,1,44,54,43,16,40,2,33,7,21,TRUE
13,58,39,10,0,4,78,76,77,14,10,57,9,0,76,TRUE
100,0,50,0,0,0,49,49,48,1,49,0,49,1,49,TRUE
0,0,100,0,0,0,85,85,84,1,0,0,0,0,85,FALSE
0,0,100,52,0,0,66,66,65,4,0,0,0,0,66,FALSE
2,7,92,45,0,3,56,42,30,9,2,7,0,4,38,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
100,0,47,0,0,0,46,52,45,1,46,0,52,1,52,TRUE
100,0,46,0,0,0,45,53,44,1,45,0,53,1,53,TRUE
33,4,87,4,0,4,46,60,37,20,24,3,22,2,30,TRUE
10,2,93,9,0,18,74,67,73,13,5,2,5,1,67,TRUE
64,1,81,1,0,0,46,52,45,20,45,1,43,2,43,TRUE
6,36,61,19,0,7,59,55,58,21,3,36,3,1,55,TRUE
0,0,100,4,0,32,88,87,87,6,0,0,0,0,87,TRUE
45,2,75,2,0,0,75,75,22,18,23,2,23,1,75,TRUE
