numSYN,numRST,numACK,numPSH,numURG,numFIN,numSameSrc,numSameDest,smSrcSmPort,smSrcDfPort,smSrcSYN,smSrcRST,smDestSYN,smDestSmPort,smDestDfPort
3,1,97,1,0,0,63,64,62,1,3,0,0,0,64
1,0,99,1,0,0,65,65,64,1,1,0,0,0,65
0,0,100,2,0,0,65,65,64,1,0,0,0,0,65
7,1,93,2,0,0,59,60,58,1,7,0,0,1,60
1,0,99,4,0,0,60,61,59,1,1,0,0,0,61
3,1,97,2,0,0,63,64,62,1,3,0,0,0,64
0,0,100,3,0,0,49,51,48,1,0,0,0,11,51
7,0,93,3,0,0,55,55,54,2,7,0,0,1,34
0,0,100,2,0,0,56,58,55,5,0,0,0,0,58
3,0,97,4,0,0,52,53,51,3,3,0,0,16,44
0,0,100,4,0,2,61,64,60,1,0,0,0,1,64
1,0,99,3,0,0,55,57,54,1,1,0,0,1,57
3,1,97,8,0,1,48,50,46,2,3,0,0,0,50
0,0,100,5,0,0,40,58,39,1,0,0,0,1,24
1,1,99,5,0,0,36,62,35,1,1,0,0,1,62
5,0,95,9,0,0,42,56,41,1,5,0,1,35,14
0,0,100,6,0,0,45,60,44,1,0,0,0,2,21
5,1,95,11,0,0,55,61,54,1,5,0,0,1,61
1,0,99,5,0,1,51,51,50,2,1,0,0,39,12
0,0,100,10,0,0,36,64,35,2,0,0,0,2,64
0,0,100,4,0,0,47,58,46,1,0,0,0,11,58
4,0,96,10,0,0,49,49,44,2,4,0,0,0,26
0,0,100,1,0,0,33,65,32,1,0,0,0,1,65
4,0,96,7,0,0,45,53,43,2,4,0,0,5,53
0,0,100,2,0,0,32,66,31,1,0,0,0,1,66
0,0,100,1,0,0,39,66,38,1,0,0,0,1,66
6,0,94,5,0,0,49,49,48,1,6,0,1,39,10
0,0,100,2,0,0,65,65,64,1,0,0,0,0,65
0,0,100,0,0,0,54,55,53,1,0,0,0,0,55
0,0,100,1,0,0,64,64,63,1,0,0,0,1,64
6,0,94,10,0,1,52,46,40,4,6,0,0,0,17
0,0,100,0,0,0,66,66,65,1,0,0,0,0,66
0,0,100,3,0,0,54,55,53,2,0,0,0,12,51
0,0,100,0,0,0,65,66,64,1,0,0,0,0,66
13,1,87,8,0,0,51,47,47,2,13,0,1,5,22
0,1,100,1,0,0,55,63,54,2,0,0,0,1,63
1,0,99,1,0,0,54,55,53,2,1,0,0,15,45
0,0,100,2,0,0,44,66,43,1,0,0,0,1,66
0,0,100,7,0,0,42,62,41,1,0,0,0,3,62
1,0,99,10,0,0,53,56,52,3,1,0,0,43,13
4,0,96,2,0,0,46,61,45,2,4,0,0,5,56
0,0,100,3,0,0,48,56,47,1,0,0,0,6,56
3,0,97,5,0,1,45,53,39,5,3,0,0,0,22
0,0,100,7,0,0,42,66,41,2,0,0,0,1,66
0,0,100,4,0,0,43,55,35,2,0,0,0,3,55
0,2,98,4,0,3,37,63,36,2,0,2,0,1,63
0,0,100,1,0,0,51,66,50,1,0,0,0,1,66
7,0,93,6,0,0,41,57,38,2,7,0,0,2,57
0,0,100,2,0,0,46,65,45,1,0,0,0,1,65
1,0,99,1,0,2,40,61,39,6,1,0,1,2,61
1,0,99,3,0,0,54,58,53,2,1,0,0,9,58
0,0,100,2,0,0,34,64,33,1,0,0,0,1,64
11,0,89,5,0,3,45,53,40,4,11,0,1,1,53
0,0,100,1,0,0,65,65,64,1,0,0,0,0,65
3,0,98,4,0,0,43,58,42,2,1,0,2,7,58
0,0,100,3,0,0,50,61,49,1,0,0,0,1,61
0,1,100,1,0,0,65,65,64,1,0,1,0,0,65
3,0,97,3,0,1,49,49,45,3,3,0,1,24,30
0,0,100,0,0,0,65,65,64,1,0,0,0,0,65
4,0,96,5,0,2,35,63,32,2,4,0,0,1,63
3,0,97,2,0,0,55,56,54,1,3,0,0,32,9
0,0,100,1,0,0,46,65,45,1,0,0,0,1,65
0,2,100,1,0,0,43,55,42,1,0,0,0,12,32
0,0,100,0,0,0,66,66,65,1,0,0,0,0,66
